;Date;Price;Open;High;Low;Vol.;Change %
200;Oct 23, 2018;69100;69600;70000;68600;3.02M;-1.29%
201;Oct 22, 2018;70000;69600;70900;69600;2.35M;0.43%
202;Oct 21, 2018;69700;70700;70700;69700;-;-1.55%
203;Oct 19, 2018;70800;68100;70900;67800;2.68M;3.06%
204;Oct 18, 2018;68700;69600;69900;68700;2.64M;-2.41%
205;Oct 17, 2018;70400;71400;71700;70300;2.65M;1.00%
206;Oct 16, 2018;69700;70300;71000;69600;2.20M;-0.85%
207;Oct 15, 2018;70300;71600;71700;69900;3.70M;-2.90%
208;Oct 14, 2018;72400;72400;72400;72400;-;0.00%
209;Oct 12, 2018;72400;69200;73200;69200;4.80M;4.93%
210;Oct 11, 2018;69000;67600;70200;67500;4.85M;-1.85%
211;Oct 10, 2018;70300;70300;71100;69800;3.62M;-1.26%
212;Oct 09, 2018;71200;71200;71200;71200;-;0.00%
213;Oct 08, 2018;71200;69500;71800;69400;2.69M;1.28%
214;Oct 07, 2018;70300;70300;70300;70300;-;0.00%
215;Oct 05, 2018;70300;69700;71100;69400;3.78M;0.43%
216;Oct 04, 2018;70000;71700;72200;69800;5.68M;-2.37%
217;Oct 03, 2018;71700;71700;71700;71700;-;0.00%
218;Oct 02, 2018;71700;73600;74000;71600;3.97M;-2.71%
219;Oct 01, 2018;73700;74300;74600;73200;2.96M;0.82%
220;Sep 30, 2018;73100;73100;73100;73100;-;0.00%
221;Sep 28, 2018;73100;75300;75900;73100;5.54M;-2.53%
222;Sep 27, 2018;75000;75900;75900;74700;5.83M;-2.22%
223;Sep 26, 2018;76700;76700;76700;76700;-;0.00%
224;Sep 21, 2018;76700;77100;77500;76300;5.66M;-3.03%
225;Sep 20, 2018;79100;78600;79900;78000;3.39M;0.38%
226;Sep 19, 2018;78800;79400;79700;78400;2.81M;1.03%
227;Sep 18, 2018;78000;76600;78300;76100;2.45M;1.04%
228;Sep 17, 2018;77200;78000;78200;76700;2.12M;-0.64%
229;Sep 16, 2018;77700;77700;77700;77700;-;0.00%
230;Sep 14, 2018;77700;76100;77800;76000;3.93M;4.30%
231;Sep 13, 2018;74500;74300;75200;73900;5.02M;-0.80%
