;Date;Price;Open;High;Low;Vol.;Change %
200;Oct 19, 2018;115500;114500;117500;114000;486.81K;-0.43%
201;Oct 18, 2018;116000;118000;118500;114000;707.97K;-2.11%
202;Oct 17, 2018;118500;117500;119500;116500;384.59K;1.72%
203;Oct 16, 2018;116500;114000;117500;113500;502.63K;2.64%
204;Oct 15, 2018;113500;116500;117000;111500;697.25K;-1.73%
205;Oct 12, 2018;115500;115500;118000;114500;670.86K;-0.43%
206;Oct 11, 2018;116000;118500;120500;116000;696.27K;-3.33%
207;Oct 10, 2018;120000;122500;123000;119500;446.88K;-1.64%
208;Oct 09, 2018;122000;122000;122000;122000;-;0.00%
209;Oct 08, 2018;122000;123500;124000;121500;386.38K;-2.01%
210;Oct 07, 2018;124500;124500;124500;124500;-;0.00%
211;Oct 05, 2018;124500;126000;126000;123000;283.95K;0.00%
212;Oct 04, 2018;124500;128500;129000;122500;670.40K;-3.11%
213;Oct 03, 2018;128500;128500;128500;128500;-;0.00%
214;Oct 02, 2018;128500;128500;129500;128000;196.38K;-0.39%
215;Oct 01, 2018;129000;130000;130000;128500;232.57K;-0.39%
216;Sep 30, 2018;129500;129500;129500;129500;-;0.00%
217;Sep 28, 2018;129500;130000;130500;128000;283.31K;-0.77%
218;Sep 27, 2018;130500;130000;130500;128500;465.06K;1.16%
219;Sep 26, 2018;129000;129000;129000;129000;-;0.00%
220;Sep 21, 2018;129000;131000;131000;127500;400.17K;0.00%
221;Sep 20, 2018;129000;126500;130000;126000;335.36K;1.98%
222;Sep 19, 2018;126500;128500;129000;125500;347.21K;-1.17%
223;Sep 18, 2018;128000;128500;130000;128000;341.64K;-0.39%
224;Sep 17, 2018;128500;129000;129500;128000;219.97K;-0.77%
225;Sep 16, 2018;129500;129500;129500;129500;-;0.00%
226;Sep 14, 2018;129500;129500;131000;129000;259.87K;0.78%
227;Sep 13, 2018;128500;130500;130500;128000;331.00K;-0.77%
228;Sep 12, 2018;129500;128500;131000;128000;340.38K;1.17%
229;Sep 11, 2018;128000;130000;130500;128000;371.17K;-2.29%
230;Sep 10, 2018;131000;131500;133500;130000;299.48K;-1.50%
231;Sep 09, 2018;133000;133000;133000;133000;-;0.00%
232;Sep 07, 2018;133000;136000;137000;131500;690.74K;-0.75%
233;Sep 06, 2018;134000;130000;136000;130000;922.64K;3.88%
234;Sep 05, 2018;129000;126500;131000;126500;857.99K;1.98%
235;Sep 04, 2018;126500;125500;127000;124500;296.67K;1.20%
236;Sep 03, 2018;125000;124500;126000;123500;262.22K;0.00%
237;Sep 02, 2018;125000;125000;125000;125000;-;0.00%
238;Aug 31, 2018;125000;124000;126000;123000;501.19K;1.21%
239;Aug 30, 2018;123500;124000;125000;123000;338.96K;-0.40%
240;Aug 29, 2018;124000;125000;125000;123500;224.69K;-0.80%
241;Aug 28, 2018;125000;125000;127000;124000;373.94K;0.81%
242;Aug 27, 2018;124000;125000;125500;123500;226.51K;-0.40%
243;Aug 26, 2018;124500;124500;124500;124500;-;0.00%
244;Aug 24, 2018;124500;123500;124500;123000;231.93K;0.00%
