;Date;Price;Open;High;Low;Vol.;Change %
238;Aug 31, 2018;366000;362000;366000;355500;203.27K;0.69%
239;Aug 30, 2018;363500;370500;370500;363000;228.92K;-2.81%
240;Aug 29, 2018;374000;368500;375000;366500;172.15K;2.19%
241;Aug 28, 2018;366000;372500;376500;365000;227.18K;-1.61%
242;Aug 27, 2018;372000;366000;374500;360500;271.59K;1.64%
243;Aug 26, 2018;366000;366000;366000;366000;-;0.00%
244;Aug 24, 2018;366000;355500;366500;352500;266.77K;2.66%
245;Aug 23, 2018;356500;355500;358500;354000;238.19K;0.56%
246;Aug 22, 2018;354500;366000;366500;351000;351.74K;-2.61%
247;Aug 21, 2018;364000;364000;366500;358500;306.22K;-0.55%
248;Aug 20, 2018;366000;369500;372500;364000;149.93K;0.14%
249;Aug 19, 2018;365500;365500;365500;365500;-;0.00%
250;Aug 17, 2018;365500;370000;371500;364000;136.75K;-0.54%
251;Aug 16, 2018;367500;364000;373500;361500;266.01K;-1.47%
252;Aug 15, 2018;373000;373000;373000;373000;-;0.00%
253;Aug 14, 2018;373000;368500;374500;367500;165.49K;1.36%
254;Aug 13, 2018;368000;374500;376500;366500;215.52K;-1.87%
255;Aug 12, 2018;375000;375000;375000;375000;-;0.00%
256;Aug 10, 2018;375000;385000;386500;369000;263.92K;-2.60%
257;Aug 09, 2018;385000;375500;385000;371000;243.19K;2.39%
258;Aug 08, 2018;376000;384000;387500;376000;178.61K;-1.83%
259;Aug 07, 2018;383000;378000;386000;375000;285.73K;0.52%
260;Aug 06, 2018;381000;391000;393000;376500;308.69K;-2.56%
261;Aug 05, 2018;391000;391000;391000;391000;-;0.00%
262;Aug 03, 2018;391000;375500;391000;373500;421.76K;4.27%
263;Aug 02, 2018;375000;374500;378000;373000;225.14K;0.13%
264;Aug 01, 2018;374500;376500;382500;368500;273.45K;-0.13%
265;Jul 31, 2018;375000;377500;378500;372500;181.12K;-0.53%
