;Date;Price;Open;High;Low;Vol.;Change %
165;Nov 30, 2018;247500;246500;251000;246000;431.36K;1.43%
166;Nov 29, 2018;244000;244000;248500;242500;465.64K;1.46%
167;Nov 28, 2018;240500;244500;245000;236000;433.82K;-1.43%
168;Nov 27, 2018;244000;242000;245500;241000;370.48K;1.88%
169;Nov 26, 2018;239500;246500;247000;238500;478.40K;-2.84%
170;Nov 25, 2018;246500;247000;247000;246500;-;-0.20%
171;Nov 23, 2018;247000;252500;255000;245500;317.69K;-2.76%
172;Nov 22, 2018;254000;254500;255500;252500;163.13K;-0.20%
173;Nov 21, 2018;254500;255000;256500;252000;280.51K;-1.93%
174;Nov 20, 2018;259500;259500;260500;256500;243.21K;-0.38%
175;Nov 19, 2018;260500;256000;261500;256000;205.76K;1.96%
176;Nov 16, 2018;255500;256500;257500;252500;203.33K;0.99%
177;Nov 15, 2018;253000;250000;253500;250000;247.18K;1.61%
178;Nov 14, 2018;249000;256000;259500;247500;396.80K;-3.11%
179;Nov 13, 2018;257000;254000;257500;250000;262.11K;-0.39%
180;Nov 12, 2018;258000;262000;263500;256000;318.72K;-2.09%
181;Nov 11, 2018;263500;262500;263500;262500;-;-0.75%
182;Nov 09, 2018;265500;267000;270500;265000;136.95K;-0.56%
183;Nov 08, 2018;267000;272500;273500;266500;261.25K;-0.37%
184;Nov 07, 2018;268000;271500;276500;266000;243.82K;-1.29%
185;Nov 06, 2018;271500;268500;273000;266000;196.28K;2.45%
186;Nov 05, 2018;265000;269000;270000;261500;306.29K;-3.28%
187;Nov 02, 2018;274000;262500;274000;262000;357.59K;6.00%
188;Nov 01, 2018;258500;264500;264500;256500;254.15K;0.19%
189;Oct 31, 2018;258000;254000;259000;249500;287.48K;1.57%
190;Oct 30, 2018;254000;260500;264000;246000;512.02K;-2.68%
191;Oct 29, 2018;261000;266500;267000;258500;263.76K;-1.32%
192;Oct 26, 2018;264500;268000;268500;261500;220.13K;0.00%
193;Oct 25, 2018;264500;260000;264500;257500;290.44K;-0.56%
194;Oct 24, 2018;266000;265500;269000;262000;297.02K;1.92%
195;Oct 23, 2018;261000;264500;267500;258000;309.17K;-2.06%
196;Oct 22, 2018;266500;267000;271000;263000;204.97K;-0.74%
197;Oct 21, 2018;268500;269500;269500;268500;-;-0.56%
